J1106-6438      166.618500    -64.650000   2.717934  2.33e-15    27.000      0.19      203.00       *       *  
J1107-5907      166.893583    -59.121861   0.252773  9.01e-18     9.300      0.18       40.20       *       *  
J1107-5947      166.994583    -59.784444   1.516531  3.40e-16    45.000      0.43      158.40       *    2.23  
J1107-6143      166.801250    -61.733056   1.799396  1.56e-13    26.000      0.38      406.00       *       *  
J1110-5637      167.501667    -56.625806   0.558253  2.06e-15    22.000      1.80      262.56       *       *  
J1112-6103      168.061708    -61.058639   0.064962  3.15e-14    11.000      1.40      599.10       *       *  
J1112-6613      168.160542    -66.218000   0.334213  8.24e-16    15.000      2.60      249.30       *    1.59  
J1114-6100      168.593833    -61.009500   0.880820  4.61e-14    29.000      2.00      677.00       *       *  
J1115+5030      168.910000     50.503414   1.656440  2.49e-15    16.600      3.00        9.19   -1.80    0.45  
J1115-6052      168.973667    -60.871611   0.259777  7.23e-15     5.400      0.38      228.20       *       *  
J1116-4122      169.179525    -41.378878   0.943158  7.95e-15    14.000      3.00       40.53       *    1.72  
J1117-6154      169.349208    -61.906111   0.505097  1.25e-14     8.900      0.68      493.60       *       *  
J1117-6447      169.437500    -64.799444   1.155272  2.40e-16    61.000      0.14      303.00       *       *  
J1119-6127      169.809583    -61.463750   0.407963  4.02e-12    24.000      0.80      707.40       *       *  
J1121-5444      170.329954    -54.734861   0.535783  2.77e-15    21.000      1.30      204.70       *    2.33  
J1123-6102      170.923750    -61.035056   0.640234  6.46e-15    10.000      0.53      439.40       *       *  
J1123-6259      170.981454    -62.986317   0.271434  5.25e-15     6.600      0.56      223.26       *    2.38  
J1123-6651      170.967542    -66.863631   0.232976  2.75e-15    16.000      0.36      111.20       *    2.48  
J1124-5638      171.235292    -56.644361   0.185560  9.00e-18    15.000      0.31      289.50       *       *  
J1124-6421      171.247917    -64.354722   0.479099  6.20e-16    13.000      0.19      298.00       *       *  
J1125-5825      171.434857    -58.421356   0.003102  6.09e-20     0.310      0.86      124.79       *       *  
J1125-6014      171.480075    -60.235169   0.002630  4.01e-21     0.210      0.05       52.95       *       *  
